Source,Target,Type
158,35639,Directed
35639,23527,Directed
249,14359,Directed
249,6852,Directed
298,22929,Directed
298,27075,Directed
22929,27075,Directed
356,17182,Directed
17182,356,Directed
390,31821,Directed
447,30523,Directed
524,5835,Directed
5835,524,Directed
567,34667,Directed
577,32600,Directed
577,33310,Directed
32600,22578,Directed
32600,28744,Directed
32600,30965,Directed
32600,31607,Directed
32600,32184,Directed
32600,33897,Directed
32600,33310,Directed
592,8300,Directed
615,27451,Directed
753,28923,Directed
826,24449,Directed
836,1982,Directed
836,5600,Directed
836,6262,Directed
1982,10011,Directed
1982,14188,Directed
1982,15206,Directed
1982,6262,Directed
1982,9383,Directed
5600,1982,Directed
923,22578,Directed
923,29722,Directed
29722,22578,Directed
29722,28744,Directed
960,2284,Directed
990,23221,Directed
990,34782,Directed
34782,23221,Directed
1013,1887,Directed
1082,420,Directed
1173,11187,Directed
1173,28806,Directed
11187,28806,Directed
1188,26494,Directed
1195,9419,Directed
1228,12453,Directed
1228,6793,Directed
1238,30099,Directed
1238,32610,Directed
1281,29347,Directed
1330,30350,Directed
1336,13513,Directed
1482,26138,Directed
1482,28094,Directed
1482,29347,Directed
1482,31408,Directed
26138,1768,Directed
31408,26138,Directed
1584,12379,Directed
1584,15170,Directed
1584,17248,Directed
1587,23392,Directed
1629,22207,Directed
22207,5630,Directed
1752,31015,Directed
1882,22352,Directed
1896,21496,Directed
1896,32716,Directed
1896,34905,Directed
32716,12722,Directed
34905,21496,Directed
2058,24307,Directed
2080,28452,Directed
28452,24854,Directed
28452,27184,Directed
2190,29045,Directed
2190,35639,Directed
2239,7090,Directed
2289,13835,Directed
13835,13773,Directed
13835,2289,Directed
2331,21095,Directed
2337,20569,Directed
2337,21478,Directed
20569,23550,Directed
21478,21531,Directed
21478,34864,Directed
2459,15414,Directed
2543,2772,Directed
2725,28779,Directed
2774,23088,Directed
2774,5475,Directed
5475,12156,Directed
2823,9901,Directed
2823,13662,Directed
2823,7223,Directed
2823,7182,Directed
13662,9901,Directed
2958,23863,Directed
2958,35291,Directed
3028,23293,Directed
3028,33255,Directed
33255,26068,Directed
3147,10352,Directed
3147,1811,Directed
3187,27664,Directed
3217,26651,Directed
3312,21033,Directed
3312,27726,Directed
3426,4268,Directed
3426,33653,Directed
3432,9379,Directed
3501,10352,Directed
3554,6541,Directed
6541,32707,Directed
3604,23770,Directed
3604,30329,Directed
3604,33255,Directed
3737,13519,Directed
3767,27451,Directed
3767,29166,Directed
3767,34864,Directed
34864,29166,Directed
3770,8296,Directed
3843,12617,Directed
3964,22578,Directed
3964,30965,Directed
4064,3994,Directed
4078,34986,Directed
4237,24854,Directed
4257,25948,Directed
4294,34905,Directed
4297,27280,Directed
4587,27057,Directed
4688,12631,Directed
4792,17650,Directed
4792,23046,Directed
4792,34145,Directed
34145,17650,Directed
4807,1768,Directed
4969,35270,Directed
4991,9419,Directed
4998,30744,Directed
5046,2121,Directed
5085,34914,Directed
34914,23606,Directed
5199,21743,Directed
5236,32688,Directed
5260,22926,Directed
5260,27184,Directed
5260,28452,Directed
5260,5868,Directed
22926,32616,Directed
5868,24228,Directed
5868,32003,Directed
5868,5260,Directed
5518,8517,Directed
5522,29677,Directed
5685,24054,Directed
5685,26039,Directed
5685,31574,Directed
5685,33339,Directed
5685,33103,Directed
24054,31574,Directed
33103,31574,Directed
5791,1304,Directed
5841,6684,Directed
24228,28921,Directed
5984,9591,Directed
6049,34507,Directed
6080,2121,Directed
6127,9886,Directed
6127,3767,Directed
6127,7700,Directed
9886,26773,Directed
6159,23061,Directed
6159,30271,Directed
6227,34394,Directed
34394,25054,Directed
6443,24316,Directed
6500,29873,Directed
6692,9814,Directed
6820,30376,Directed
30376,23221,Directed
30376,34034,Directed
6880,17124,Directed
6905,11112,Directed
6916,32175,Directed
6975,3054,Directed
6996,31471,Directed
6996,33879,Directed
7268,21309,Directed
7268,32593,Directed
7335,24975,Directed
24975,17650,Directed
7436,17829,Directed
7436,3065,Directed
7436,7696,Directed
7696,7436,Directed
7572,1510,Directed
7679,1577,Directed
7679,6975,Directed
7683,20224,Directed
7683,26436,Directed
26436,20224,Directed
7749,24973,Directed
7749,32886,Directed
32886,24973,Directed
8128,23353,Directed
8128,31718,Directed
8128,35478,Directed
23353,35478,Directed
8163,9877,Directed
8363,29410,Directed
8405,8860,Directed
8860,8405,Directed
8433,24951,Directed
8433,26553,Directed
8433,26620,Directed
8433,34821,Directed
8433,34905,Directed
26553,24951,Directed
26620,20512,Directed
26620,34821,Directed
8759,8622,Directed
8759,9411,Directed
9081,34921,Directed
9090,23155,Directed
9090,23221,Directed
9117,9419,Directed
9138,24975,Directed
9138,27030,Directed
27030,17650,Directed
27030,24088,Directed
9180,21211,Directed
9380,22552,Directed
9380,23777,Directed
9380,34147,Directed
9426,2090,Directed
9593,24553,Directed
9593,28566,Directed
24553,28566,Directed
9631,26715,Directed
9631,6743,Directed
26715,25276,Directed
26715,32614,Directed
9704,21430,Directed
9765,23606,Directed
9765,34914,Directed
9765,10646,Directed
9765,35668,Directed
9765,27448,Directed
9779,5630,Directed
9853,9765,Directed
9853,23606,Directed
9853,34914,Directed
9932,25844,Directed
10053,13519,Directed
10055,3154,Directed
10099,34375,Directed
10294,2284,Directed
10294,960,Directed
10294,11601,Directed
10329,33103,Directed
10329,24054,Directed
10329,5685,Directed
10329,34715,Directed
10329,30568,Directed
30568,28467,Directed
10367,13519,Directed
10493,21969,Directed
10635,35540,Directed
10723,13631,Directed
10825,1410,Directed
10877,17650,Directed
11150,24519,Directed
24519,20268,Directed
24519,21922,Directed
24519,27897,Directed
11256,11688,Directed
11499,8984,Directed
11608,31854,Directed
11608,30910,Directed
31854,35830,Directed
31854,35402,Directed
31854,35949,Directed
11619,27244,Directed
27244,23411,Directed
27244,24657,Directed
27244,25692,Directed
27244,30009,Directed
11722,21698,Directed
11854,26436,Directed
11868,35186,Directed
11980,3282,Directed
12092,5426,Directed
12340,26946,Directed
12340,28260,Directed
26946,28260,Directed
12449,29679,Directed
12562,25965,Directed
12773,30198,Directed
12773,21728,Directed
12773,34067,Directed
12773,30908,Directed
13013,10430,Directed
13013,2090,Directed
13053,35731,Directed
13053,24088,Directed
13053,23452,Directed
13053,31901,Directed
13053,17650,Directed
13053,25662,Directed
25662,17650,Directed
25662,23452,Directed
25662,24088,Directed
25662,35731,Directed
25662,31901,Directed
13070,3323,Directed
13116,32560,Directed
13117,2459,Directed
13117,15414,Directed
13153,29087,Directed
13153,35639,Directed
13179,28452,Directed
13279,28372,Directed
13299,14708,Directed
13299,17043,Directed
17043,12379,Directed
17043,14708,Directed
13429,8300,Directed
13552,26152,Directed
13552,27392,Directed
13616,20485,Directed
13616,22250,Directed
22250,28260,Directed
13710,21099,Directed
13882,13519,Directed
13975,35241,Directed
14015,2121,Directed
14351,23003,Directed
14411,8100,Directed
14539,30446,Directed
14539,22520,Directed
14539,21487,Directed
14539,21496,Directed
30446,22520,Directed
14594,34096,Directed
14703,4640,Directed
14728,25544,Directed
14734,17371,Directed
15099,21856,Directed
15111,2121,Directed
15273,23221,Directed
15288,3323,Directed
15352,13519,Directed
15545,35830,Directed
15545,31854,Directed
35830,31854,Directed
15558,23777,Directed
15570,30558,Directed
15578,34821,Directed
15706,14921,Directed
15746,13519,Directed
15829,25905,Directed
15871,17187,Directed
15899,35863,Directed
15899,24933,Directed
24933,35863,Directed
15927,26478,Directed
26478,20624,Directed
26478,32496,Directed
15930,28253,Directed
28253,20888,Directed
28253,31084,Directed
16017,17665,Directed
16225,17000,Directed
17000,16225,Directed
16306,29873,Directed
16367,13519,Directed
16367,2375,Directed
16437,4562,Directed
16604,34489,Directed
16623,15759,Directed
16624,35241,Directed
16624,33143,Directed
16624,25025,Directed
33143,28774,Directed
16663,15414,Directed
16663,17650,Directed
16663,23221,Directed
16682,6080,Directed
16752,26266,Directed
16753,13519,Directed
16953,26138,Directed
16953,26269,Directed
16953,29347,Directed
16953,31408,Directed
16975,34864,Directed
16983,32297,Directed
16983,1629,Directed
17013,8745,Directed
17087,20936,Directed
17188,27979,Directed
17188,32813,Directed
17188,27794,Directed
17188,32541,Directed
27979,17650,Directed
32813,27979,Directed
32813,32541,Directed
27794,17650,Directed
27794,27979,Directed
32541,17650,Directed
17191,8300,Directed
17289,27862,Directed
17289,34067,Directed
17323,34336,Directed
17435,26620,Directed
17435,34905,Directed
17442,13053,Directed
17442,24088,Directed
17532,6037,Directed
17559,6743,Directed
17597,29285,Directed
17609,1743,Directed
17644,21181,Directed
17644,35875,Directed
17652,26457,Directed
17746,2121,Directed
17749,32374,Directed
17806,9306,Directed
17869,11305,Directed
17869,3212,Directed
17980,17650,Directed
18013,34589,Directed
34589,34589,Directed
18068,35997,Directed
18071,49321,Directed
18082,49676,Directed
18090,48597,Directed
18090,44702,Directed
48597,21176,Directed
18091,19155,Directed
19155,18091,Directed
19155,2662,Directed
18113,49210,Directed
18181,19566,Directed
18181,18929,Directed
18181,19110,Directed
19566,18181,Directed
19566,18929,Directed
19566,19005,Directed
19566,19110,Directed
18929,19566,Directed
18929,19110,Directed
18186,44930,Directed
18186,30040,Directed
44930,23254,Directed
44930,25208,Directed
44930,30040,Directed
18210,44977,Directed
18210,675,Directed
18214,10576,Directed
18225,27366,Directed
18256,3982,Directed
18258,14531,Directed
18262,31830,Directed
18262,34244,Directed
34244,31830,Directed
18272,15102,Directed
18287,35521,Directed
18287,25359,Directed
25359,23259,Directed
18290,29332,Directed
29332,5760,Directed
18299,34027,Directed
18302,2140,Directed
18327,48599,Directed
18333,18567,Directed
18338,12122,Directed
18342,24513,Directed
24513,31887,Directed
18343,14734,Directed
18346,969,Directed
18349,30536,Directed
18374,33950,Directed
18398,23081,Directed
18398,24655,Directed
18412,21204,Directed
18435,9419,Directed
18446,17591,Directed
18446,45297,Directed
18454,27411,Directed
18454,42898,Directed
18487,33950,Directed
18487,21997,Directed
18488,13971,Directed
18497,280,Directed
18515,18717,Directed
18521,42900,Directed
18539,25951,Directed
18598,30040,Directed
18609,17591,Directed
18623,16757,Directed
18639,1218,Directed
18646,45428,Directed
18646,43157,Directed
43157,20353,Directed
18654,39905,Directed
18680,49001,Directed
18695,15696,Directed
18711,7213,Directed
18714,32337,Directed
18715,1188,Directed
18722,33912,Directed
18750,8095,Directed
18765,10286,Directed
18767,13208,Directed
18786,16193,Directed
18786,39330,Directed
39330,16193,Directed
18789,22635,Directed
18799,32081,Directed
18799,33093,Directed
32081,23464,Directed
18822,34921,Directed
18822,33399,Directed
18822,24567,Directed
18832,33383,Directed
18836,18535,Directed
18843,35514,Directed
18864,10086,Directed
18881,16649,Directed
18888,20635,Directed
18895,14646,Directed
18909,38530,Directed
18911,14539,Directed
18911,33978,Directed
18911,5144,Directed
