Id,Label,Year,Authors,InDegree,OutDegree,PageRank
21,Fast and Efficient Context-Aware Services (Wiley Series on Communications Networking & Distributed Systems),2006,"Danny Raz,Arto Tapani Juhola,Joan Serrat-Fernandez,Alex Galis",1,0,0.00020895934384009693
35,An Integrative Modelling Approach for Simulation and Analysis of Adaptive Agents,2006,"Tibor Bosse,Catholijn M. Jonker,Jan Treur",1,0,0.0005902800580132258
107,Strategic Management,2005,John A. Pearce,2,0,0.00031296466934346265
125,"Bipolar possibility theory in preference modeling: Representation, fusion and optimal solutions",2006,"Salem Benferhat,Didier Dubois,Souhila Kaci,Henri Prade",1,0,0.00020895934384009693
135,Simulation with Arena (McGraw-Hill Series in Industrial Engineering and Management),2007,W. David Kelton,1,0,0.0002713625391421164
154,Introduction to Mathematical Programming: Applications and Algorithms,2003,Wayne L. Winston,1,0,0.00020895934384009693
158,Controlling simulation games through rule-based scenarios,2006,"Stijn-Pieter van Houten,Alexander Verbraeck",0,1,0.00014655614853807745
35639,Training for today's supply chains: an introduction to the distributor game,2005,"Stijn-Pieter A. van Houten,Alexander Verbraeck,Sandor Boyson,Thomas Corsi",3,1,0.00039616892974615525
173,Principles of Foundation Engineering,2006,Braja M. Das,1,0,0.0002713625391421164
188,A mixture of experts committee machine to design compensators for intensity modulated radiation therapy,2006,"J. H. Goodband,O. C. L. Haas,J. A. Mills",1,0,0.00018815827873942378
249,Firmware/hardware support for operating systems: principles and selected history,1975,Gary H. Sockut,0,2,0.00014655614853807745
14359,An overview of the MATHILDA system,1975,"Peter Kornerup,Bruce D. Shriver",1,0,0.00020895934384009693
6852,The significance of microprogramming,1974,Robert F. Rosin,1,0,0.00020895934384009693
280,"Handbook of Image and Video Processing (Communications, Networking and Multimedia)",2005,Alan C. Bovik,2,0,0.00039616892974615525
298,Module-based modeling of production-distribution systems considering shipment consolidation,2006,"Xiaohua Wang,Soemon Takakuwa",0,2,0.00014655614853807745
22929,Flexible module-based modeling and analysis for large-scale transportation-inventory systems,2005,"Kanna Miwa,Soemon Takakuwa",1,1,0.00020895934384009693
27075,Module-based modeling of flow-type multistage manufacturing systems adopting dual-card Kanban system,2004,"Junichi Nomura,Soemon Takakuwa",2,0,0.00038691865425598737
349,Modeling centralized organization of organizational change,2007,"Mark Hoogendoorn,Catholijn M. Jonker,Martijn C. Schut,Jan Treur",1,0,0.0002713625391421164
356,Path-based control of smoke simulations,2006,"Yootai Kim,Raghu Machiraju,David Thompson",1,1,0.0008585365456570766
17182,"A controllable, fast and stable basis for vortex based smoke simulation",2006,"Alexis Angelidis,Fabrice Neyret,Karan Singh,Derek Nowrouzezahrai",1,1,0.0008585365456570766
390,VISSIM: a multi-parameter sensitivity analysis,2006,"Nicholas E. Lownes,Randy B. Machemehl",0,1,0.00014655614853807745
31821,Calibration of VISSIM for shanghai expressway using genetic algorithm,2005,"Wu Zhizhou,Sun Jian,Yang Xiaoguang",1,0,0.0002713625391421164
420,Discrete-Event Simulation: A First Course,2005,"Lawrence M. Leemis,Stephen K. Park",2,0,0.00039616892974615525
447,Multiuser interior design over the internet,2006,"Yen-Chun Lin,Chen-Chuan Pan,Jhih-En Kuo",0,1,0.00014655614853807745
